geometry,Bed Name,Location,Survey Date,Acres,Miles,County,Start time (PDT),End time (PDT),CORRECTED DEPTH: Edge closest to shore (m MLLW) 1,CORRECTED DEPTH: Edge farthest from shore (m MLLW) 1,Water Temp (C ) Shore Edge 1,Water Temp (C ) Water Edge 1,CORRECTED DEPTH: Edge closest to shore (m MLLW) 2,CORRECTED DEPTH: Edge farthest from shore (m MLLW) 2,Water Temp (C ) Shore Edge 1,Water Temp (C ) Water Edge 1,Weather, Tide Station,Tidal Ht (m),Observations,Additional Observations,Photo towards beach,Photo towards water,Photo beach on left,Photo beach on right,Surveyor,Survey_Id_String,SurveyDate_Converted
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebey's Landing,"Aug 10, 2021",37.6865442883851,1.64713243896978,Island,10:30,12:02,6.096,4.2672,12,12,5.4864,,,,clear,Admiralty Head (9447905),0,"1.  Numerous herring schools throughout bed, ranging 2-4 cm TL.  Some schools have 100's of fish.
2.  Numerous shiner perch in shallower, nearshore parts of bed.
3.  Jellyfish:  >12 egg yolk jellies > 10 cm diameter, 3 lions mane jellies
4.  6 pigeon guillemot fishing at bed margin, 2 with fish (1 sculpin, 1 gunnel (probably penpoint).
5.  1 great blue heron fishing from kelp stipes.
6.  ~ 2 dozen gulls resting or fishing in bed, including a few Heerman's.",perimeter track is joined track from VB (outer margin) & LR (inner margin),,,,,Linda Rhodes,island_ebeys_landing_2021_08_11_11,2021-08-11T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Edmonds 2,Edmonds North,"July 22, 2021",7.43767310113791,0.976538845453772,Snohomish,10:12,10:53,2.8956,3.5052,14.5,14.5,,,,,clear,Edmonds,0,"fronts 6-12', bulbs 2-3 inches in diameter. Pretty dense with kelp clusters and rafts. A moderate amount of front damage, some bare bulbs. Appears to be a larger bed than in 2020. Moderate kelp crab observed. Kelp is denser in the middle of the bed than at the edges.","No photos, camera lost",,,,,Elisa Dawson,snohomish_edmonds_2_2021_07_22_42,2021-07-22T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Edmonds 3,Edmonds North,"July 22, 2021",0.634805101601371,0.300732129962913,Snohomish,09:40,10:10,0.012192,0.762,14.5,14.5,,,,,clear,Edmonds,-0.3048,"The point closest to shore was at the water's edge, some kelp exposed at the beach, abundant sugar kelp. The shallow end was sandy bottom, moderate eelgrass present, and sargassum. Kelp fronds on the shallow edges are physically damaged.","no photos, camera lost",,,,,Elisa Dawson,snohomish_edmonds_3_2021_07_22_43,2021-07-22T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Edmonds 1,Edmonds Dive Park,"July 22, 2021",0.315387510519331,0.158679606663412,Snohomish,09:32,09:36,2.37744,2.8956,14.5,14.5,,,,,clear,Edmonds,0,Very small and not dense,"No photos, camera lost",,,,,Elisa Dawson,snohomish_edmonds_1_2021_07_22_41,2021-07-22T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"June 22, 2021",18.308696702314,0.947437697200383,Jefferson,09:18,09:56,1.0668,7.9248,11.75,10.6,0.762,3.5052,,10.7,fog_mist,"Port Townsend, WA",-0.27432,"Lots of young, healthy kelp, some reproductive. Saw no crabs, did see school of small fish (moving).  Kelp bed extended to shore where it was too shallow to kayak.",Not confident of perimeter at north/deepest edge of the bed since there were many small bulbs and we were not sure they were attached.,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-CTQTbtg/0/D5btWPHqSRsQdDcDGPGmFjWFzXKGWc9Tf9vwqF3sb/Th/jefferson_north_beach_east_2021_06_22_9_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-M34tjmb/0/DLQ4NqnMC3TkFPvVQfq6JhMSqRwPGsPt2Xcz2sSH5/Th/jefferson_north_beach_east_2021_06_22_9_ToWaL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-VCs8fTN/0/DLHL53hrzFFX7nNLHDCwbK6NwbfBGRgxLQd9wBmtG/Th/jefferson_north_beach_east_2021_06_22_9_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-mg7fjG4/0/3vkvCnJ7cRd4Lfr3GBRvHJxLNkxJVj2fVxHCxmhT/Th/jefferson_north_beach_east_2021_06_22_9_BeR-XL.jpg,Betsy Carlson,jefferson_north_beach_east_2021_06_22_9,2021-06-22T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"July 23, 2021",20.4939153406635,1.08077742440069,Jefferson,09:30,10:43,2.9718,7.68096,11.6,11.2,1.0668,2.7432,,12,clouds,Port Townsend,-0.9144,"Main bed is farther east than in past. Kelp nearest shore extends all the way up to the beach. 2 schools of small fish, 1 shrimp, 1 kelp crab. Blades appear healthy. Lots of kelp patches west of the bed. The furthest edge of the bed grew in more densely since the last survey. Still sparse in the middle and densest along the shore.",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-8S2ZWR4/0/Cc3FGjQG4N2Bc7tjTqt5rTtD5LrS28XdVZmh36pxN/Th/jefferson_north_beach_east_2021_07_23_19_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-5nSzBkG/0/DJZfMp6kKRfztP5w2VmxJGbpcBwzM8mWsdjrFLs2F/Th/jefferson_north_beach_east_2021_07_23_19_ToWaL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-CHJrkzn/0/Dvvbz9LZhxpN75jDVgZjdxHM6GmLTQ56gNDTLJRnM/Th/jefferson_north_beach_east_2021_07_23_19_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-Pc37F3c/0/FgGmxgJPjSFVDtxMgKVqXb8NqbHkMKxsgGL43sR49/Th/jefferson_north_beach_east_2021_07_23_19_BeR-XL.jpg,Emily Bishop,jefferson_north_beach_east_2021_07_23_18,2021-07-23T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"Aug 20, 2021",25.5791391763932,0.972369085455591,Jefferson,09:00,09:48,0.8382,9.4488,12.1,,3.1242,4.0386,,,clouds,Port Townsend,-0.57912,"We stopped surveying at the eastern boundary although the kelp bed extends a bit beyond. Present were small fish, gulls feeding (CA and Bonapart), harbor seals (1-2), kelp crab (2 spotted). Thick with blades. Bed runs to shoreline.","DNR drone and kayak survey happened at the same time. 
We did not collect temperature for the first two sites and also didn't take a final waypoint.",https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-WFFbkTj/0/CFrqhThrPQLgvQHMg8T3ttB3wRxxjxxt35KKs7KM2/Th/jefferson_north_beach_east_2021_08_20_18_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-M4zwRKJ/0/Zf3mDGdZrSKFH9tVTTnpVbTZDLGxbT2ZHRk3FkMX/Th/jefferson_north_beach_east_2021_08_20_18_ToWaL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-np6t3x9/0/8PwwVB5CxS8JJwXMhJ5xvGctXG9qpzq3h2PCMSPH/Th/jefferson_north_beach_east_2021_08_20_18_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2021/i-7SSNNNN/0/Cts9H46v5NLbzR3nCKhR2VcSvPQZqNLLf7dsxX28M/Th/jefferson_north_beach_east_2021_08_20_18_BeR-XL.jpg,Emily Bishop,jefferson_north_beach_east_2021_08_20_17,2021-08-20T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"June 14, 2021",0.501016118694779,0.249305507623468,Skagit,12:15,12:55,,5.0292,,10,,,,,light_rain,Burrows Bay (Allan Island),-0.420624,"Kelp overall healthy, typical of early summer; 7 large healthy sea stars, 1 large beige colored sea star that still looked healthy; 1 small sea star in same area approximately 3 to 4 inches across. 3 harbor seals observed us from distance.","I am suspicious about Biz Point - Depth Measurement - 6-14-2021 - 082.  Looking on the map, it doesn't look like where the waypoint should be.  The start and end look correct.

Datasheet images, track.gpx files updated to via email to Suzanne by Richard A",,,,,John Freeto,skagit_biz_point_2021_06_14_19,2021-06-14T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"July 26, 2021",0.676788388979151,0.255958498283292,Skagit,11:15,11:55,,4.8768,,11.1111111111111,,,,,clear,Burrows Bay,-0.478536,Kelp appeared healthy and vigorous.  No purple sea stars and normally we see 8 or more.,Slack Current using Deep Zoom predicted at 11:55.  We found strong incoming current at 11:15.  Made for difficult measurements.,,,,,John Freeto,skagit_biz_point_2021_07_26_7,2021-07-26T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"Aug 20, 2021",0.895445470989673,0.271510614390975,Skagit,07:55,08:35,,4.8768,,11.6666666666667,,,,,clouds,Burrows Bay/Allen Island & Deception Pass - Deep Zoom,-0.509016,"Seemed more dense and vigorous than anytime in past.  Approximately 1/3 of bed seemed newer being smaller bulbs and lighter color.  Counted 5 healthy purple sea stars, 1 harbor seal and one blue heron that flew away when we got closer.","Low tide was at 8:59 AM.  From Deep Zoom, slack current was predicted at 8:44 AM (Deception Pass) and 8:54 AM (Bowman Bay).  When we arrived at the kelp bed the incoming/flood current was already starting at 7:55AM.  Regardless of predictions for areas ne",,,,,John Freeto,skagit_biz_point_2021_08_20_12,2021-08-20T00:00:00.0000000
