D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Ebey's Landing,2019,2019-06-21,24.9524779552518,,,,,12.0,,,3.43,,,6.17,,,12:00:00.000-07:00,14:55:00.000-07:00,,2019
Ebey's Landing,2019,2019-07-18,37.1814118834297,,,,,12.0,,,4.36,,,7.41,,,11:45:00.000-07:00,14:05:00.000-07:00,,2019
Ebey's Landing,2019,2019-08-13,40.6632284586082,,,,,13.0,,,0.38,,,5.41,,,09:30:00.000-07:00,10:32:00.000-07:00,,2019
Polnell Point,2019,2019-06-20,5.85303919638601,,,,,15.0,,,2.56,,,2.56,,,12:25:00.000-07:00,15:20:00.000-07:00,,2019
Polnell Point,2019,2019-07-19,14.3975407319193,,,,,16.0,,,2.44,,,4.88,,,23:50:00.000-07:00,14:30:00.000-07:00,,2019
Polnell Point,2019,2019-08-14,41.1431585731914,,,,,15.0,,,0.4,,,4.82,,,10:40:00.000-07:00,13:15:00.000-07:00,,2019
Possession Point,2019,2019-06-21,0.233138049734259,,,,,15.0,,,1.98,,,3.51,,,12:45:00.000-07:00,14:15:00.000-07:00,,2019
Possession Point,2019,2019-07-19,57.3677621873856,,,,,15.0,,,0.58,,,4.39,,,11:05:00.000-07:00,13:15:00.000-07:00,,2019
Possession Point,2019,2019-08-16,60.6713810637874,,,,,15.0,,,1.68,,,4.72,,,11:00:00.000-07:00,12:55:00.000-07:00,,2019
Possession Point,2019,2019-09-26,60.4579076619775,,,,,15.0,,,2.74,,,5.79,,,08:15:00.000-07:00,10:20:00.000-07:00,,2019
Polnell Point,2019,2019-09-26,47.3125079172994,,,,,15.0,,,4.6,,,5.52,,,08:05:00.000-07:00,10:19:00.000-07:00,,2019
Ebey's Landing,2019,2019-09-27,31.902623091698,,,,,11.0,,,4.6,,,7.65,,,08:50:00.000-07:00,10:40:00.000-07:00,,2019
