Herbarium	Accession Number	Family	Genus	Species	Species Author	Subtype	Subtaxon	Subtaxon Author	ID Doubted	Scientific Name	Accepted Name (Taxon Name)	Determiner	Determination Day	Determination Month	Determination Year	Collector	Collector Number Prefix	Collector Number	Collector Number Suffix	Full Collector Number	Associated Collectors	Collection Day	Collection Month	Collection Year	Site Code	Country	State	County	Locality	Elevation (Feet)	Elevation (Meters)	Latitude Degrees	Latitude Minutes	Latitude Seconds	North or South	Longitude Degrees	Longitude Minutes	Longitude Seconds	West or East	Site Description	Specimen Description	Origin	Phenology
WTU	355390	Apiaceae	Anthriscus	scandicina	(Weber) Mansfeld					Anthriscus scandicina	Anthriscus caucalis	Ben Legler	18	May	2004	Ben Legler		1489		1489		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	Flowers white; abundant on edges of parking lot.	Introduced	Flowering
WTU	355632	Apiaceae	Anthriscus	scandicina	(Weber) Mansfeld					Anthriscus scandicina	Anthriscus caucalis	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	1		PWD 1		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Flowering
WTU	357107	Apiaceae	Conium	maculatum	L.					Conium maculatum	Conium maculatum	Ben Legler	6	Oct	2004	Don Knoke		716		716		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Locally abundant; flowers white; gravelly soil.	Introduced	Flowering & Fruiting
WTU	357109	Apiaceae	Daucus	carota	L.					Daucus carota	Daucus carota	Ben Legler	6	Oct	2004	Don Knoke		731		731		10	Sep	2004	Don Knoke_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot, higher wooded area."	20	6	48	11.5		N	122	42.4		W	"Other plants: Pseudotsuga menziesii, Lonicera hispidula, Symphoricarpos alba, Holodiscus discolor."	Flowers white; common; gravelly soil.	Introduced	Flowering & Fruiting
WTU	356252	Apiaceae	Daucus	pusillus	Michx.					Daucus pusillus	Daucus pusillus	Ben Legler	24	Jun	2004	Ben Legler		1699		1699		4	Jun	2004	Ben Legler_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve; north end and NE shore of Perego?s Lagoon; National Park Service property."	10	3	48	12	11	N	122	44	10	W	Gravelly shore of lagoon and saltmarsh below SW-facing sandy bluff.	Uncommon on lower bluff.	Introduced	Fertile
WTU	357070	Apiaceae	Glehnia	leiocarpa	Mathias					Glehnia leiocarpa	Glehnia littoralis ssp. leiocarpa	Ben Legler	6	Oct	2004	Jeff Walker		267		267		10	Sep	2004	Jeff Walker_2004-Sep-10__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; around the western and northern edges of Perego?s Lagoon."	5	2	48	12	8	N	122	44	5	W		"Growing in dry, loose sand between ponds."	Native	Fruiting
WTU	355645	Apiaceae	Lomatium	nudicaule	(Pursh) Coult. & Rose					Lomatium nudicaule	Lomatium nudicaule	Ben Legler	18	May	2004	Ben Legler		1515		1515		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	Flowers yellow; taprooted; several large clumps in sandy soil behind driftlogs.	Native	Flowering
WTU	355388	Apiaceae	Lomatium	utriculatum	(Nutt.) Coult. & Rose					Lomatium utriculatum	Lomatium utriculatum	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	61		PWD 61		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."		Native	Fertile
WTU	356497	Apiaceae	Osmorhiza	chilensis	H. & A.					Osmorhiza chilensis	Osmorhiza berteroi	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	35		PWD 35		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	Flowers white; slender fruits; forest understory.	Native	Fertile
WTU	355640	Apiaceae	Sanicula	bipinnatifida	Dougl.					Sanicula bipinnatifida	Sanicula bipinnatifida	Ben Legler	18		2004	Peter W. Dunwiddie	PWD 	51		PWD 51		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  3 km north of main parking lot along main trail.  "	197	60	48	11.882		N	122	43.369		W	Collecting below trail and in nearby Pseudotsuga forest.		Native	Fertile
WTU	355619	Apiaceae	Sanicula	crassicaulis	Poepp.					Sanicula crassicaulis	Sanicula crassicaulis	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	5		PWD 5		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Native	Flowering
