geometry,Bed Name,Location,Survey Date,Survey #,Acres,Miles,County,Start time (PDT),End time (PDT),CORRECTED DEPTH: Edge closest to shore (m MLLW),CORRECTED DEPTH: Edge farthest from shore (m MLLW),Total Bulbs/Meter-Squared,Water Temp (C),Weather,Tide Station,Tide Ht Start (ft),Observations,Additional Observations,Photo towards beach,Photo towards water,Photo beach on left,Photo beach on right,SurveyDate_Converted,SurveyID
Geocortex.Gis.Geometries.Polygon,Edmond 2 (B),Edmonds North,"July 14, 2015",1,15.1401757555846,1.07614608080177,Snohomish,09:24 AM,10:45 AM,0.9455,1.525,6.1011905670166,15,,Edmonds,-1,"Very large patch. Variable density. Extends north to Shell Creek
Two transects at different places within the bed. Density of 6.1 one transect and 1.19 the other",,,,,,2015-07-14T00:00:00.0000000,"Edmond 2 (B) July 14, 2015"
Geocortex.Gis.Geometries.Polygon,Meadowdale 2 (B),Meadowdale,"July 17, 2015",1,0.801075665994851,0.178886012468354,Snohomish,12:27 PM,12:45 PM,0.366,0.366,1.39860153198242,,,Everett,-1.2,No depths recorded at Meadowdale B,,,,,,2015-07-17T00:00:00.0000000,"Meadowdale 2 (B) July 17, 2015"
Geocortex.Gis.Geometries.Polygon,Mukilteo 6 (A),Mukilteo,"July 16, 2015",1,0.139817533960167,0.099007830850672,Snohomish,10:44 AM,11:02 AM,0.3965,0.4575,0.404040396213531,16,,Everett,-0.8,"Small bed near shore-shallow.
Extra low density about 5-8 m wide
BL took 3 mins
eelgrass on north",,,,,,2015-07-16T00:00:00.0000000,"Mukilteo 6 (A) July 16, 2015"
Geocortex.Gis.Geometries.Polygon,Mukilteo 1 (B),Mukilteo,"July 16, 2015",1,0.22432688638202,0.143130641874502,Snohomish,11:08 AM,11:25 AM,0.5185,0.671,0.43771043419838,16,,Everett,-1.4,Larger than MKA ~ 20 m wide,,,,,,2015-07-16T00:00:00.0000000,"Mukilteo 1 (B) July 16, 2015"
Geocortex.Gis.Geometries.Polygon,Mukilteo C,Mukilteo,"July 16, 2015",1,0.078699187304786,0.0644832927422709,Snohomish,11:26 AM,11:35 AM,0.549,0.671,,16,,Everett,-1.5,"No transect, total bulb counts avg 101 (Lincoln 109, Taylor 97)/
Observers counted all bulbs in entire bed, averaged counts.
Very low density, small bed
Density = 101/318.48 m2 = 0.32 bulbs/m2
* area of entire bed derived in GIS",,,,,,2015-07-14T00:00:00.0000000,"Mukilteo C July 16, 2015"
Geocortex.Gis.Geometries.Polygon,"Mukilteo 2, 3&4 (D)",Mukilteo,"July 16, 2015
",1,1.12041839981996,0.431957871011638,Snohomish,11:42 AM,12:01 PM,0.732,1.0065,0.336700320243835,16,,Everett,-1.6,hugs the shoreline,,,,,,2015-07-16T00:00:00.0000000,"Mukilteo 2, 3&4 (D) July 16, 2015
"
Geocortex.Gis.Geometries.Polygon,Mukilteo 5 (E),Mukilteo,"July 16, 2015",1,1.92012410100139,0.370245522959801,Snohomish,12:03 PM,12:28 PM,0.6405,1.0065,1.54882156848907,16,,Everett,-1.6,"Good sized riprap offshore, kelp loves it
large bed. Extends offshore 100 m. denser, many are on large rocks",,,,,,2015-07-16T00:00:00.0000000,"Mukilteo 5 (E) July 16, 2015"
Geocortex.Gis.Geometries.Polygon,Mukilteo F,Mukilteo,"July 16, 2015",1,0.575197833732817,0.16633923160853,Snohomish,12:30 PM,12:42 PM,0.549,0.793,0.639730632305145,16,,Everett,-1.3,Small offshore bed.,,,,,,2015-07-16T00:00:00.0000000,"Mukilteo F July 16, 2015"
Geocortex.Gis.Geometries.Polygon,Mukilteo G,Mukilteo,"July 16, 2015",1,0.772829341316813,0.201625834365222,Snohomish,12:50 PM,01:03 PM,0.5185,0.732,1.54882156848907,16,,Everett,-1,,,,,,,2015-07-16T00:00:00.0000000,"Mukilteo G July 16, 2015"
Geocortex.Gis.Geometries.Polygon,Mukilteo I,Mukilteo,"July 16, 2015",1,0.278783554626966,0.189743828305109,Snohomish,02:00 PM,02:22 PM,0.0914999999999999,0.183,0.909090876579285,16,,Everett,1.1,This is the kelp patch of the lost G bed,,,,,,2015-07-16T00:00:00.0000000,"Mukilteo I July 16, 2015"
