Replicate#	Destination Herbarium	NPS Accession Number	NPS Catalog Number	WTU Database ID	WTU Accession Number	Family	Scientific Name	Genus	Species	Author	Subspecific Rank	Subspecific taxon	Subspecific Author	Determiner	Determination Day	Determination Month	Determination Year	Determination Source	Collector Name	Collector Number Prefix	Collector Number	Collector Number Suffix	Associated Collector	Collection Day	Collection Month	Collection Year	Country	State	County	Locality	Elevation (ft.)	Elevation (m)	Dec. Latitude	N or S	Decimal Long.	W or E	Lat-Long Datum	Accuracy (m)	UTM Zone	Easting	Northing	Datum	UTM Source	Site description	Specimen Details	Origin	Phenology	
1	MORA	MORA-523	17190	164126		Saxifragaceae	Saxifraga ferruginea	Saxifraga	ferruginea	Grah.				David Giblin	10	Sep	2007	H&C	David Giblin		1130		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon in loose soil in rocky outcropping.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17191	164126		Saxifragaceae	Saxifraga ferruginea	Saxifraga	ferruginea	Grah.				David Giblin	10	Sep	2007	H&C	David Giblin		1130		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon in loose soil in rocky outcropping.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17192	164127		Pteridaceae	Cryptogramma cascadensis	Cryptogramma	cascadensis	E.R. Alverson				David Giblin	10	Sep	2007	FNA	David Giblin		1131		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Locally common in rock crevices.	Native	Spores	
2	WTU	MORA-523	17193	164127		Pteridaceae	Cryptogramma cascadensis	Cryptogramma	cascadensis	E.R. Alverson				David Giblin	10	Sep	2007	FNA	David Giblin		1131		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Locally common in rock crevices.	Native	Spores	
3	UBC	MORA-523	17194	164127		Pteridaceae	Cryptogramma cascadensis	Cryptogramma	cascadensis	E.R. Alverson				David Giblin	10	Sep	2007	FNA	David Giblin		1131		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Locally common in rock crevices.	Native	Spores	
1	MORA	MORA-523	17195	164128		Ericaceae	Phyllodoce glanduliflora	Phyllodoce	glanduliflora	(Hook.) Cov.				David Giblin	10	Sep	2007	H&C	David Giblin		1132		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon. On rocky outcropping.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17196	164128		Ericaceae	Phyllodoce glanduliflora	Phyllodoce	glanduliflora	(Hook.) Cov.				David Giblin	10	Sep	2007	H&C	David Giblin		1132		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon. On rocky outcropping.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17197	164128		Ericaceae	Phyllodoce glanduliflora	Phyllodoce	glanduliflora	(Hook.) Cov.				David Giblin	10	Sep	2007	H&C	David Giblin		1132		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon. On rocky outcropping.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17198	164129		Cyperaceae	Carex pyrenaica	Carex	pyrenaica	Wahl.				David Giblin	10	Sep	2007	FNA	David Giblin		1133		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Common in steep rock face crevices.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17199	164129		Cyperaceae	Carex pyrenaica	Carex	pyrenaica	Wahl.				David Giblin	10	Sep	2007	FNA	David Giblin		1133		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Common in steep rock face crevices.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17200	164129		Cyperaceae	Carex pyrenaica	Carex	pyrenaica	Wahl.				David Giblin	10	Sep	2007	FNA	David Giblin		1133		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Common in steep rock face crevices.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17201	164130		Asteraceae	Artemisia furcata	Artemisia	furcata	Bieb.				David Giblin	10	Sep	2007	FNA	David Giblin		1134		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon; in rocky outcropping.	Native	Flowering	
2	WTU	MORA-523	17202	164130		Asteraceae	Artemisia furcata	Artemisia	furcata	Bieb.				David Giblin	10	Sep	2007	FNA	David Giblin		1134		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon; in rocky outcropping.	Native	Flowering	
1	MORA	MORA-523	17203	164131		Poaceae	Festuca brachyphylla ssp. brachyphylla	Festuca	brachyphylla	J.A. Schultes ex J.A. & J.H. Schultes	ssp.	brachyphylla		David Giblin	10	Sep	2007	FNA	David Giblin		1135		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Uncommon; in rock crevice.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17204	164132		Poaceae	Poa secunda ssp. secunda	Poa	secunda	Presl.	ssp.	secunda		David Giblin	10	Sep	2007	FNA	David Giblin		1136		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Cespitose; growing in crevices of rock face.	Native	Fertile	
2	WTU	MORA-523	17205	164132		Poaceae	Poa secunda ssp. secunda	Poa	secunda	Presl.	ssp.	secunda		David Giblin	10	Sep	2007	FNA	David Giblin		1136		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Cespitose; growing in crevices of rock face.	Native	Fertile	
3	UBC	MORA-523	17522	164132		Poaceae	Poa secunda ssp. secunda	Poa	secunda	Presl.	ssp.	secunda		David Giblin	10	Sep	2007	FNA	David Giblin		1136		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Cespitose; growing in crevices of rock face.	Native	Fertile	
