"ID","Replicate Number","Destination Herbarium","NOCA Acc Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number Numeric","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
1,1.00,"NOCA",656.00,24236.00,3441.00,358000.00,"2003 North Cascades National Park Foray","Poaceae","Festuca idahoensis","Festuca","idahoensis","Elmer",,,,,,,,1.00,"David Giblin",16.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7519.00,,"7519","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"South facing slope.  Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).","Glumes bronze-colored.",,"Native","Buds only",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
2,2.00,"WTU",656.00,24447.00,3441.00,358000.00,"2003 North Cascades National Park Foray","Poaceae","Festuca idahoensis","Festuca","idahoensis","Elmer",,,,,,,,1.00,"David Giblin",16.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7519.00,,"7519","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"South facing slope.  Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).","Glumes bronze-colored.",,"Native","Buds only",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
3,3.00,"UBC",656.00,24576.00,3441.00,358000.00,"2003 North Cascades National Park Foray","Poaceae","Festuca idahoensis","Festuca","idahoensis","Elmer",,,,,,,,1.00,"David Giblin",16.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7519.00,,"7519","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"South facing slope.  Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).","Glumes bronze-colored.",,"Native","Buds only",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
4,1.00,"NOCA",656.00,24328.00,3442.00,,"2003 North Cascades National Park Foray","Poaceae","Agrostis thurberiana","Agrostis","thurberiana","Hitchc.",,,,,,,,1.00,"David Giblin",15.00,"Sep",2003.00,"H&C",,"Peter F. Zika",,18839.00,,"18839","Jim Duemmel, Walk Lockwood",23.00,"Aug",2003.00,"USA","Washington","Skagit","Cascade Mountains.  North Cascades National Park.  1 air kilometer SE of Easy Pass.  Fisher Creek Basin.",5576.00,,1700.00,,48.00,33.00,0.00,"N",120.00,50.00,0.00,"W","WGS 84",,"Calc. from UTM",10.00,659654.00,5381082.00,,,"Field notes","35N","16E",3.00,,"Mossy banks of Fisher Creek and adjacent uplands, among granite boulder, subalpine meadow in valley floor.","Common, rhizomatous, forming large clumps on creek bank.",,"Native",,,"{2B4EBA52-B9A4-4AF7-8BEC-67A0B742F445}",659653.99,5381081.99,"NAD83","OK","Natalya Antonova"
5,1.00,"NOCA",656.00,24399.00,3443.00,,"2003 North Cascades National Park Foray","Poaceae","Poa sandbergii","Poa","sandbergii","Vasey",,,,,,,,1.00,"David Giblin",15.00,"Sep",2003.00,,,"Peter F. Zika",,18862.00,"A","18862A","Steve Hahn, Cody Hinchliff, Jim Duemmel, Walt Lockwood",24.00,"Aug",2003.00,"USA","Washington","Skagit","Cascade Mountains.  North Cascade National Park.  0.2 air kilometers NE of Upper, west of Silent Lakes.  Easy Gully or Easy Couloir, above Fisher Creek headquarters and Fisher Creek basin.",5248.00,,1600.00,,48.00,33.10,0.00,"N",120.00,50.30,0.00,"W",,,"Field notes",10.00,659519.34,5379874.77,"WGS 84",,"Calc. from Lat-Long","35N","16E",11.00,,"Steep north-facing talus and slide, rock-walled chute.  Cliff base.",,,"Native",,,"{F39D163D-2575-4D57-B782-558C686F9ACB}",659519.33,5379874.76,"NAD83","OK","Natalya Antonova"
6,1.00,"NOCA",656.00,24387.00,3444.00,,"2003 North Cascades National Park Foray","Poaceae","Agrostis humilis","Agrostis","humilis","Vasey",,,,,,,,1.00,"David Giblin",15.00,"Sep",2003.00,"H&C",,"Peter F. Zika",,18902.00,,"18902","Steve Hahn, Cody Hinchliff, Jim Duemmel, Walt Lockwood",24.00,"Aug",2003.00,"USA","Washington","Chelan","Cascade Mountains.  North Cascades National Park.  Between Fisher Peak and Mount Arriva.  Upper Silent Lake.",6986.00,,2130.00,,48.00,32.80,0.00,"N",120.00,50.20,0.00,"W",,,"Field notes",10.00,659658.06,5379322.52,"WGS 84",,"Calc. from Lat-Long","35N","16E",11.00,,"Steep damp turf, granite alpine slope.","Cespitose, blue leaves, strict inflorescence, common.",,"Native",,,"{D1758F68-E7AD-46F2-B303-50D5035D15F6}",659658.05,5379322.51,"NAD83","OK","Natalya Antonova"
7,1.00,"NOCA",656.00,24380.00,3449.00,,"2003 North Cascades National Park Foray","Rosaceae","Luetkea pectinata","Luetkea","pectinata","(Pursh) Kuntze",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Peter F. Zika",,18893.00,,"18893","Jim Duemmel, Walt Lockwood",24.00,"Aug",2003.00,"USA","Washington","Chelan","Cascade Mountains.  North Cascades National Park.  Between Fisher Peak and Mount Arriva.  Upper Silent Lake.",6986.00,,2130.00,,48.00,32.80,0.00,"N",120.00,50.20,0.00,"W",,,"Field notes",10.00,659658.06,5379322.52,"WGS 84",,"Calc. from Lat-Long","35N","16E",11.00,,"Flat alpine meadow, full sun, among granite boulders.","White flowers.  Rhizomatous.  Common at outlet.",,"Native",,,"{D1758F68-E7AD-46F2-B303-50D5035D15F6}",659658.05,5379322.51,"NAD83","OK","Natalya Antonova"
8,1.00,"NOCA",656.00,24231.00,3452.00,357980.00,"2003 North Cascades National Park Foray","Rosaceae","Luetkea pectinata","Luetkea","pectinata","(Pursh) Kuntze",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7514.00,,"7514","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers white.  Mats.  Not common.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
9,2.00,"WTU",656.00,24442.00,3452.00,357980.00,"2003 North Cascades National Park Foray","Rosaceae","Luetkea pectinata","Luetkea","pectinata","(Pursh) Kuntze",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7514.00,,"7514","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers white.  Mats.  Not common.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
10,1.00,"NOCA",656.00,24214.00,3457.00,357997.00,"2003 North Cascades National Park Foray","Scrophulariaceae","Castilleja miniata","Castilleja","miniata","Dougl. ex. Hook.",,,,,,,,1.00,"David Giblin",19.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7497.00,,"7497","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers pink to red, varying in this population.  Common on slope uphill from stream.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
