"ID","Replicate Number","Destination Herbarium","NOCA Accession Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
1,1.00,"NOCA",656.00,12320.00,6165.00,,"2004 North Cascades National Park Forays","Isoetaceae","Isoetes echinospora","Isoetes","echinospora","Dur.",,,,,,,,1.00,"Sarah Gage",26.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7559.00,,"7559","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Growing in 1.5-2 feet of water.","Locally common.",,"Native","Fertile",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
2,1.00,"NOCA",656.00,12321.00,6166.00,,"2004 North Cascades National Park Forays","Scrophulariaceae","Pedicularis racemosa","Pedicularis","racemosa","Dougl.",,,,,,,,1.00,"Sarah Gage",23.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7560.00,,"7560","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Growing on slope above bottomlands.","Flowers white with lavender tinge.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
3,2.00,"WTU",656.00,12322.00,6166.00,,"2004 North Cascades National Park Forays","Scrophulariaceae","Pedicularis racemosa","Pedicularis","racemosa","Dougl.",,,,,,,,1.00,"Sarah Gage",23.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7560.00,,"7560","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Growing on slope above bottomlands.","Flowers white with lavender tinge.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
4,3.00,"UBC",656.00,12323.00,6166.00,,"2004 North Cascades National Park Forays","Scrophulariaceae","Pedicularis racemosa","Pedicularis","racemosa","Dougl.",,,,,,,,1.00,"Sarah Gage",23.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7560.00,,"7560","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Growing on slope above bottomlands.","Flowers white with lavender tinge.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
5,1.00,"NOCA",656.00,12324.00,6167.00,,"2004 North Cascades National Park Forays","Asteraceae","Arnica mollis","Arnica","mollis","Hook.",,,,,,,,1.00,"Sarah Gage",29.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7561.00,,"7561","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Lake shoreline.","Heads yellow; scattered.",,"Native","Flowering & Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
6,2.00,"WTU",656.00,12325.00,6167.00,,"2004 North Cascades National Park Forays","Asteraceae","Arnica mollis","Arnica","mollis","Hook.",,,,,,,,1.00,"Sarah Gage",29.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7561.00,,"7561","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Lake shoreline.","Heads yellow; scattered.",,"Native","Flowering & Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
7,3.00,"UBC",656.00,12326.00,6167.00,,"2004 North Cascades National Park Forays","Asteraceae","Arnica mollis","Arnica","mollis","Hook.",,,,,,,,1.00,"Sarah Gage",29.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7561.00,,"7561","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Lake shoreline.","Heads yellow; scattered.",,"Native","Flowering & Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
8,1.00,"NOCA",656.00,12327.00,6168.00,,"2004 North Cascades National Park Forays","Poaceae","Phleum alpinum","Phleum","alpinum","L.",,,,,,,,1.00,"Sarah Gage",22.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7562.00,,"7562","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist area.","Scattered in moist area.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
9,2.00,"WTU",656.00,12328.00,6168.00,,"2004 North Cascades National Park Forays","Poaceae","Phleum alpinum","Phleum","alpinum","L.",,,,,,,,1.00,"Sarah Gage",22.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7562.00,,"7562","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist area.","Scattered in moist area.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
10,3.00,"UBC",656.00,12329.00,6168.00,,"2004 North Cascades National Park Forays","Poaceae","Phleum alpinum","Phleum","alpinum","L.",,,,,,,,1.00,"Sarah Gage",22.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7562.00,,"7562","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist area.","Scattered in moist area.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
