"ID","Replicate Number","Destination Herbarium","NOCA Acc Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
1,1.00,"NOCA",764.00,32320.00,82842.00,,"2005 North Cascades National Park Foray","Juncaceae","Juncus parryi","Juncus","parryi","Engelm.",,,,,,,,1.00,"P. F. Zika",,,2005.00,"Jepson",,"Maria Gerace","05-","500",,"05-500","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Caespitose, in dry soil.",,"Native","Fruiting",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
2,2.00,"WTU",764.00,32321.00,82842.00,,"2005 North Cascades National Park Foray","Juncaceae","Juncus parryi","Juncus","parryi","Engelm.",,,,,,,,1.00,"P. F. Zika",,,2005.00,"Jepson",,"Maria Gerace","05-","500",,"05-500","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Caespitose, in dry soil.",,"Native","Fruiting",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
3,1.00,"NOCA",764.00,32322.00,82863.00,,"2005 North Cascades National Park Foray","Poaceae","Trisetum spicatum","Trisetum","spicatum","(L.) Richter",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","501",,"05-501","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Occasional, in dry run-off beds.  In clumps.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
4,2.00,"WTU",764.00,32323.00,82863.00,,"2005 North Cascades National Park Foray","Poaceae","Trisetum spicatum","Trisetum","spicatum","(L.) Richter",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","501",,"05-501","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Occasional, in dry run-off beds.  In clumps.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
5,1.00,"NOCA",764.00,32324.00,82867.00,,"2005 North Cascades National Park Foray","Poaceae","Poa cusickii","Poa","cusickii","Vasey",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","502",,"05-502","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Common throughout basin.  Glumes purplish.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
6,2.00,"WTU",764.00,32325.00,82867.00,,"2005 North Cascades National Park Foray","Poaceae","Poa cusickii","Poa","cusickii","Vasey",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","502",,"05-502","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Common throughout basin.  Glumes purplish.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
7,1.00,"NOCA",764.00,32326.00,82872.00,,"2005 North Cascades National Park Foray","Scrophulariaceae","Penstemon procerus var. tolmiei","Penstemon","procerus","Dougl.","var.","tolmiei","(Hook.) Cronq.",,,,,1.00,"Richard G. Olmstead",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","503",,"05-503","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Corollas deep purple-blue.  Locally abundant.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
8,2.00,"WTU",764.00,32327.00,82872.00,,"2005 North Cascades National Park Foray","Scrophulariaceae","Penstemon procerus var. tolmiei","Penstemon","procerus","Dougl.","var.","tolmiei","(Hook.) Cronq.",,,,,1.00,"Richard G. Olmstead",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","503",,"05-503","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Corollas deep purple-blue.  Locally abundant.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
9,1.00,"NOCA",764.00,32328.00,82874.00,,"2005 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","504",,"05-504","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Leaves hairy, corollas blue and white.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
10,2.00,"WTU",764.00,32329.00,82874.00,,"2005 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","504",,"05-504","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Leaves hairy, corollas blue and white.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
