"Replicate.","Destination Herbarium","NPS Accession Number","NPS Catalog Number","WTU Database ID","WTU Accession Number","Family","Scientific Name","Genus","Species","Author","Subspecific Rank","Subspecific taxon","Subspecific Author","Determiner","Determination Day","Determination Month","Determination Year","Determination Source","Determination Notes","Collector Name","Collector Number Prefix","Collector Number","Collector Number Suffix","Associated Collector","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Elevation (m)","Dec Latitude","W or E","Dec Longitude","N or S","Source","Lat-Long Datum","UTM Zone","Easting","Northing","Source_UTM","Site description","Specimen Details","Origin","Phenology","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
2.00,"WTU","NOCA-00840",17865.00,163930.00,,"Caryophyllaceae","Eremogone capillaris var. americana","Eremogone","capillaris","(Poir.) Fenzl","var.","americana","(Maguire) R.L. Hartman","David Giblin",28.00,"Aug",2007.00,"FNA",,"Dale Blum","07-","02",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Common component of rocky balds. White petals.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17866.00,163930.00,,"Caryophyllaceae","Eremogone capillaris var. americana","Eremogone","capillaris","(Poir.) Fenzl","var.","americana","(Maguire) R.L. Hartman","David Giblin",28.00,"Aug",2007.00,"FNA",,"Dale Blum","07-","02",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Common component of rocky balds. White petals.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17867.00,163931.00,,"Scrophulariaceae","Castilleja elmeri","Castilleja","elmeri","Fern.",,,,"M. Egger",,,2007.00,"H&C",,"Dale Blum","07-","03",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Uncommon in well scattered clumps. Prefers deeper soil pockets. Scarlet color.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17868.00,163931.00,,"Scrophulariaceae","Castilleja elmeri","Castilleja","elmeri","Fern.",,,,"M. Egger",,,2007.00,"H&C",,"Dale Blum","07-","03",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Uncommon in well scattered clumps. Prefers deeper soil pockets. Scarlet color.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17861.00,163929.00,,"Saxifragaceae","Saxifraga bronchialis var. austromontana","Saxifraga","bronchialis","L.","var.","austromontana","(Wieg.) Jones","David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","01",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Tufted clumps growing among rocks. Rare. White petals with red dots.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17862.00,163929.00,,"Saxifragaceae","Saxifraga bronchialis var. austromontana","Saxifraga","bronchialis","L.","var.","austromontana","(Wieg.) Jones","David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","01",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Tufted clumps growing among rocks. Rare. White petals with red dots.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17863.00,163929.00,,"Saxifragaceae","Saxifraga bronchialis var. austromontana","Saxifraga","bronchialis","L.","var.","austromontana","(Wieg.) Jones","David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","01",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Tufted clumps growing among rocks. Rare. White petals with red dots.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17864.00,163930.00,,"Caryophyllaceae","Eremogone capillaris var. americana","Eremogone","capillaris","(Poir.) Fenzl","var.","americana","(Maguire) R.L. Hartman","David Giblin",28.00,"Aug",2007.00,"FNA",,"Dale Blum","07-","02",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Common component of rocky balds. White petals.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17869.00,163931.00,,"Scrophulariaceae","Castilleja elmeri","Castilleja","elmeri","Fern.",,,,"M. Egger",,,2007.00,"H&C",,"Dale Blum","07-","03",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Uncommon in well scattered clumps. Prefers deeper soil pockets. Scarlet color.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17870.00,163932.00,,"Crassulaceae","Sedum divergens","Sedum","divergens","Wats.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","04",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Rock outcrops with a thin layer of gravel. Uncommon. Full sun.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17871.00,163932.00,,"Crassulaceae","Sedum divergens","Sedum","divergens","Wats.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","04",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Rock outcrops with a thin layer of gravel. Uncommon. Full sun.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17872.00,163932.00,,"Crassulaceae","Sedum divergens","Sedum","divergens","Wats.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","04",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Rock outcrops with a thin layer of gravel. Uncommon. Full sun.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
