"ID","Replicate Number","Herbarium Destination","NOCA Acc .","NOCA Catalog .","Label title","Family","Full Scientific Name","Genus","species","Author","Subtaxon rank","Subtaxon","Subtaxon author","Subtaxon2 rank","Subtaxon2 author","Determination Notes","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination_Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper elevation range (ft)","Elevation (meters)","Upper elevation range (meters)","Degrees Lat","Minutes Lat","Seconds Lat","Degrees Long","Minutes Long","Seconds Long","Datum","Accuracy (meters)","Source","UTM Zone","Easting","Northing","Datum_UTM","Accuracy (m)","Source_UTM","Site Description","Specimen Details","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
1,1.00,"NOCA","NOCA-00832","NOCA 32148","2006 North Cascades National Park Foray","Pinaceae","Abies lasiocarpa","Abies","lasiocarpa","(Hook.) Nutt.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 2",,"Ben Legler",,3544.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North side of Hock Mountain, on the east side of the large boulder strewn moraine/tongue; 0.75 mile northeast of summit.",5600.00,5800.00,1707.00,1768.00,48.00,27.00,45.87,120.00,39.00,43.66,,,"Calc. from UTM",10.00,672829.16,5370155.20,"WGS 84",,"GPS reading","Moraine composed of huge boulders interspersed with pockets of soil supporting vegetation.  Dominant: tree is Larix lyallii, shrub - Phyllodoce empetriformis, and graminoid - Carex rossii.  Very dry; lots of cold air is channeled down from high elevation to moraine.  Aspect: 908; slope: 0-158.","Dominant tree; spire-shaped crowns.","Native","Sterile",,"{15F3C700-95DB-48EF-9C5B-B291DB8B245A}",672829.15,5370155.19,"NAD83","OK","Natalya Antonova"
2,2.00,"WTU","NOCA-00832","NOCA 32149","2006 North Cascades National Park Foray","Pinaceae","Abies lasiocarpa","Abies","lasiocarpa","(Hook.) Nutt.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 2",,"Ben Legler",,3544.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North side of Hock Mountain, on the east side of the large boulder strewn moraine/tongue; 0.75 mile northeast of summit.",5600.00,5800.00,1707.00,1768.00,48.00,27.00,45.87,120.00,39.00,43.66,,,"Calc. from UTM",10.00,672829.16,5370155.20,"WGS 84",,"GPS reading","Moraine composed of huge boulders interspersed with pockets of soil supporting vegetation.  Dominant: tree is Larix lyallii, shrub - Phyllodoce empetriformis, and graminoid - Carex rossii.  Very dry; lots of cold air is channeled down from high elevation to moraine.  Aspect: 908; slope: 0-158.","Dominant tree; spire-shaped crowns.","Native","Sterile",,"{15F3C700-95DB-48EF-9C5B-B291DB8B245A}",672829.15,5370155.19,"NAD83","OK","Natalya Antonova"
3,3.00,"UBC","NOCA-00832","NOCA 32150","2006 North Cascades National Park Foray","Pinaceae","Abies lasiocarpa","Abies","lasiocarpa","(Hook.) Nutt.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 2",,"Ben Legler",,3544.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North side of Hock Mountain, on the east side of the large boulder strewn moraine/tongue; 0.75 mile northeast of summit.",5600.00,5800.00,1707.00,1768.00,48.00,27.00,45.87,120.00,39.00,43.66,,,"Calc. from UTM",10.00,672829.16,5370155.20,"WGS 84",,"GPS reading","Moraine composed of huge boulders interspersed with pockets of soil supporting vegetation.  Dominant: tree is Larix lyallii, shrub - Phyllodoce empetriformis, and graminoid - Carex rossii.  Very dry; lots of cold air is channeled down from high elevation to moraine.  Aspect: 908; slope: 0-158.","Dominant tree; spire-shaped crowns.","Native","Sterile",,"{15F3C700-95DB-48EF-9C5B-B291DB8B245A}",672829.15,5370155.19,"NAD83","OK","Natalya Antonova"
4,1.00,"NOCA","NOCA-00832","NOCA 31193","2006 North Cascades National Park Foray","Aceraceae","Acer glabrum var. douglasii","Acer","glabrum","Torr.","var.","douglasii","(Hook.) Dippel",,,,"Ben Legler",16.00,"Aug",2006.00,"Flora of PNW",,"Diane Doss","06-",11.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. ","2 to 5 feet tall. Dominant in open areas.","Native","Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
5,2.00,"Stehekin","NOCA-00832","NOCA 31194","2006 North Cascades National Park Foray","Aceraceae","Acer glabrum var. douglasii","Acer","glabrum","Torr.","var.","douglasii","(Hook.) Dippel",,,,"Ben Legler",16.00,"Aug",2006.00,"Flora of PNW",,"Diane Doss","06-",11.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. ","2 to 5 feet tall. Dominant in open areas.","Native","Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
6,3.00,"WTU","NOCA-00832","NOCA 31195","2006 North Cascades National Park Foray","Aceraceae","Acer glabrum var. douglasii","Acer","glabrum","Torr.","var.","douglasii","(Hook.) Dippel",,,,"Ben Legler",16.00,"Aug",2006.00,"Flora of PNW",,"Diane Doss","06-",11.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. ","2 to 5 feet tall. Dominant in open areas.","Native","Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
7,1.00,"NOCA","NOCA-00832","NOCA 31091","2006 North Cascades National Park Foray","Aceraceae","Acer glabrum var. douglasii","Acer","glabrum","Torr.","var.","douglasii","(Hook.) Dippel",,,,"Ben Legler",31.00,"Aug",2006.00,"Flora of PNW",,"Dale Blum","06-",27.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Common along forest edge.","Native","Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
8,2.00,"Stehekin","NOCA-00832","NOCA 31092","2006 North Cascades National Park Foray","Aceraceae","Acer glabrum var. douglasii","Acer","glabrum","Torr.","var.","douglasii","(Hook.) Dippel",,,,"Ben Legler",31.00,"Aug",2006.00,"Flora of PNW",,"Dale Blum","06-",27.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Common along forest edge.","Native","Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
9,3.00,"WTU","NOCA-00832","NOCA 31093","2006 North Cascades National Park Foray","Aceraceae","Acer glabrum var. douglasii","Acer","glabrum","Torr.","var.","douglasii","(Hook.) Dippel",,,,"Ben Legler",31.00,"Aug",2006.00,"Flora of PNW",,"Dale Blum","06-",27.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Common along forest edge.","Native","Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
10,1.00,"NOCA","NOCA-00832","NOCA 31032","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"FNA",,"Dale Blum","06-",5.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Flowers white.","Native","Flowering",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
