parkname,family,genus,species,utm_zone,utm_x,utm_y,elev_m,coll_date
noca,Asteraceae,Erigeron,leibergii,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Asteraceae,Erigeron,leibergii,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Brassicaceae,Arabis,holboellii,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Juncaceae,Juncus,drummondii,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Juncaceae,Juncus,drummondii,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Asteraceae,Solidago,canadensis,10.0,646113.0,5370027.0,1142.0,2002-08-10
noca,Asteraceae,Solidago,canadensis,10.0,646113.0,5370027.0,1142.0,2002-08-10
noca,Asteraceae,Solidago,canadensis,10.0,646113.0,5370027.0,1142.0,2002-08-10
noca,Apiaceae,Lomatium,brandegei,10.0,646113.0,5370027.0,1142.0,2002-08-10
noca,Asteraceae,Hieracium,albiflorum,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Asteraceae,Hieracium,albiflorum,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Asteraceae,Hieracium,albiflorum,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Taxaceae,Taxus,brevifolia,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Taxaceae,Taxus,brevifolia,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Taxaceae,Taxus,brevifolia,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Poaceae,Glyceria,elata,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Poaceae,Glyceria,elata,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Poaceae,Glyceria,elata,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Rosaceae,Sorbus,scopulina,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Rosaceae,Sorbus,scopulina,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Rosaceae,Sorbus,scopulina,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Caprifoliaceae,Lonicera,involucrata,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Caprifoliaceae,Lonicera,involucrata,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Caprifoliaceae,Lonicera,involucrata,10.0,646653.0,5368218.0,1100.0,2002-08-10
noca,Dryopteridaceae,Athyrium,distentifolium,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Dryopteridaceae,Athyrium,distentifolium,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Dryopteridaceae,Athyrium,distentifolium,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Hydrophyllaceae,Phacelia,hastata,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Hydrophyllaceae,Phacelia,hastata,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Hydrophyllaceae,Phacelia,hastata,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Cyperaceae,Carex,pachystachya,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Cyperaceae,Carex,pachystachya,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Asteraceae,Agoseris,aurantiaca,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Grossulariaceae,Ribes,howellii,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Grossulariaceae,Ribes,howellii,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Grossulariaceae,Ribes,howellii,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Onagraceae,Epilobium,alpinum,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Onagraceae,Epilobium,alpinum,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Portulacaceae,Claytonia,lanceolata,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Rubiaceae,Galium,triflorum,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Rubiaceae,Galium,triflorum,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Rubiaceae,Galium,triflorum,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Cyperaceae,Carex,laeviculmis,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Cyperaceae,Carex,laeviculmis,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Cyperaceae,Carex,laeviculmis,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Liliaceae,Veratrum,viride,10.0,646066.0,5371376.0,1450.0,2002-08-10
noca,Orchidaceae,Spiranthes,romanzoffiana,10.0,646113.0,5370027.0,1142.0,2002-08-10
noca,Polygonaceae,Polygonum,minimum,10.0,646113.0,5370027.0,1142.0,2002-08-10
noca,Polygonaceae,Polygonum,minimum,10.0,646113.0,5370027.0,1142.0,2002-08-10
