D,Year,Date,Acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#
Ebey's Landing,2023,"Aug 14, 2023",31.1226274506829,12.2,12.2,11.8,11.7,12.2,11.75,,-0.81,-1.27,-1.04,5.89,5.28,5.585,08:10 AM,10:53 AM,
Hoypus Point,2023,"June 22, 2023",1.99168068187942,13.2,12.6,14.1,14.3,12.9,14.2,,-1.54,-1.46,-1.5,0.75,1.36,1.055,01:24 PM,02:00 PM,
Hoypus Point,2023,"July 20, 2023",2.76113013952144,12.6,12.7,13.0,13.9,12.65,13.45,,1.15,1.0,1.075,5.27,3.44,4.355,11:30 AM,11:45 AM,
Hoypus Point,2023,"Aug 15, 2023",3.46834711636457,13.9,13.4,14.5,14.8,13.65,14.65,,0.91,0.91,0.91,5.48,3.65,4.565,10:00 AM,11:08 AM,
Hoypus Point,2023,"Sept 28, 2023",2.46425858333205,12.3,12.4,12.5,12.5,12.35,12.5,,1.29,1.29,1.29,6.01,5.4,5.705,10:05 AM,,
Lowell Point,2023,"June 20, 2023",1.00132409473364,13.9,13.9,13.9,13.9,13.9,13.9,,-0.75,-0.84,-0.795,-0.32,-0.54,-0.43,09:00 AM,11:52 AM,
Lowell Point,2023,"July 16, 2023",4.35902676543405,15.5,15.7,16.5,15.7,15.725,15.825,,0.96,1.6,2.645,3.91,5.77,5.415,12:05 PM,13:31 PM,
Lowell Point,2023,"Aug 15, 2023",19.7389468598709,18.1,21.0,21.3,18.4,19.55,19.85,,1.55,1.22,1.385,6.09,7.04,6.565,11:59 AM,12:46 PM,
Polnell Point,2023,"Aug 15, 2023",38.7129176086763,15.9,14.8,14.9,16.0,15.35,15.45,,0.88,0.73,0.805,4.39,5.91,5.15,09:45 AM,12:05 PM,
Possession Point,2023,"June 30, 2023",2.52953758696746,15.6,15.8,15.5,16.0,15.8,15.83333333,,1.44,0.53,1.08666666666667,2.51,2.81,2.66,07:28 AM,09:02 AM,
Possession Point,2023,"Aug 14, 2023",85.8871995486428,16.5,18.6,16.8,17.2,17.55,17.0,,1.35,3.33,2.34,6.69,4.86,5.775,10:19 AM,10:55 AM,
Ebey's Landing,2022,"Aug 23, 2022",38.6307011947361,12.3,12.2,11.9,12.2,,,,3.4478,6.8006,,7.715,,,08:25,09:36,
Hoypus Point,2022,"July 18, 2022",3.94442207412346,12.8,13.2,13.0,13.1,,,,2.5908,1.2192,,5.4864,2.1336,,03:35,04:11,
Lowell Point,2022,"Aug 12, 2022",10.8849657616145,,,,,,,,,,,,,,10:40,11:21,
Polnell Point,2022,"Aug 24, 2022",14.1686054040392,15.9,15.9,16.1,16.0,,,,3.38349,2.77389,,2.77389,3.38349,,09:30,10:49,
Polnell Point,2022,"Sept 11, 2022",17.5618696496701,13.1,12.9,13.2,13.2,,,,1.68624,2.90544,,4.42944,3.97224,,11:34,01:34,
Possession Point,2022,"June 19, 2022",13.5187139255526,15.0,15.0,15.0,16.0,,,,3.57543,3.88023,,3.42303,2.50863,,02:05,02:56,2.0
Possession Point,2022,"June 19, 2022",14.9220285028655,12.5,13.0,15.0,13.0,,,,0.83223,2.35623,,5.40423,5.40423,,02:05,02:56,1.0
