"Cat .","Acc .","Family","Scientific Name","Common Name","Collector","Collect .","Coll Date","National Park Service","Ident By","Ident Date","Locality","Park Name","County","State","UTM Z/E/N","Elevation M","Habitat","Slope","Aspect","Substrate","Assoc Spec","Park Code","UTM_Y","UTM_X","Last_Edited","Who_Edited","Comment","ITIS_Name"
"SAJH  166414","SAJH-00133","Fabaceae","Trifolium oliganthum Steud.","Few flowered clover","Steve Hahn","06-203",5/4/2006 0:00:00,,"Steve Hahn",5/4/2006 0:00:00,"American Camp: along the Finlayson ridge trail, about 100 meters east of the Jakels' Lagoon parking lot.","San Juan Island National Historical Park","SAN JUAN","WA","10/500091/5367799",37,"Prairie dominated by non-native grasses, interspersed with a mosaic of native grasses and forbs, full sun.",2,200,"Mineral soil","Agrostis capillaris/Teesdalia nudicualis/Cardamine hirsuta","SAJH",5367799,500091,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Trifolium oliganthum"
"SAJH  166415","SAJH-00133","Caryophyllaceae","Arenaria serpyllifolia L.","Thyme-leaved sandwort","Steve Hahn","06-200",5/4/2006 0:00:00,,"Steve Hahn",5/4/2006 0:00:00,"English Camp: on small bluff above beach, adjacent to the Blockhouse.","San Juan Island National Historical Park","SAN JUAN","WA","10/488906/5381467",2,"Sea-side bluff dominated by exotic grasses, 1 meter above the high-tide line, full sun.",12,260,"Mineral soil","Elytregia repens/Distichlis spicata/Salicornia virginica","SAJH",5381467,488906,,"",,"Arenaria serpyllifolia"
"SAJH  166416","SAJH-00133","Brasicaceae","Draba verna L.","Vernal whitlow-grass","Steve Hahn","06-202",5/4/2006 0:00:00,,"Steve Hahn",5/4/2006 0:00:00,"American Camp: just south of the Redoubt in the Education Plots.","San Juan Island National Historical Park","SAN JUAN","WA","10/498563/5367754",55,"Prairie dominated by non-native grasses, interspersed with a mosaic of native grasses and forbs, full sun.",4,185,"Mineral soil","Holcus lanatus/Agrostis capillaris/Teesdalia nudicaulis/Cardamine hirusta","SAJH",5367754,498563,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Draba verna"
"SAJH  166417","SAJH-00133","Caryophyllaceae","Cerastium glomeratum Thuill.","Sticky chickweed","Steve Hahn","06-201",5/4/2006 0:00:00,,"Steve Hahn",5/4/2006 0:00:00,"American Camp: just south of the Redoubt in the Education Plots.","San Juan Island National Historical Park","SAN JUAN","WA","10/498563/5367754",55,"Prairie dominated by non-native grasses, interspersed with a mosaic of native grasses and forbs, full sun.",4,185,"Mineral soil","Holcus lanatus/Agrostis capillaris/Teesdalia nudicaulis/Cardamine hirusta","SAJH",5367754,498563,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Cerastium glomeratum"
"SAJH  230000","SAJH-00081","Pinaceae","Abies grandis (Dougl.) Forbes","grand fir","Teresa DeKoker","51",6/15/2001 0:00:00,,"Teresa DeKoker",6/15/2001 0:00:00,"English Camp: Bell Point trail","San Juan Island National Historical Park","SAN JUAN","WA","10/488452/5381845",8,"Coniferous forest-- partially shaded-- dominated by PSEMEN and ARBMEN-- approx. 15m from shoreline",10,240,"mineral soil","Gaultheria shallon/Pseudotsuga menziesii/Arbutus menziesii","SAJH",5381845,488452,,"",,"Abies grandis"
"SAJH  230001","SAJH-00081","Nyctaginaceae","Abronia latifolia Eschsch.","coastal sand verbena","Steve Hahn","31",5/24/2001 0:00:00,,"Steve Hahn",5/24/2001 0:00:00,"American Camp: sand dunes east of Pickett's Lane","San Juan Island National Historical Park","SAN JUAN","WA","10/500035/5367570",27,"Sand dune community set amongst a prairie landscape-- large mats of Abronia form a carpet over the dunes",5,190,"sand","Circium arvense/Bromus sterilis/Lupinus sp.","SAJH",5367570,500035,,"",,"Abronia latifolia"
"SAJH  230002","SAJH-00081","Aceraceae","Acer glabrum var. douglasii Hook","Douglas maple","Steve Hahn","188",6/27/2001 0:00:00,,"Steve Hahn",6/27/2001 0:00:00,"American Camp: deciduous forest across Cattle Pt. Rd. from 4th of July Beach Rd.","San Juan Island National Historical Park","SAN JUAN","WA","10/499421/5368180",11,"Deciduous forest with trees approx. 30' tall-- partial sunlight",3,79,"mineral soil","Alnus rubra/Pyrus fusca/Rubus spectabilis","SAJH",5368180,499421,8/7/2008 0:00:00,"Lise Grace","Fixed typo in Scientific Name","Acer glabrum var. douglasii"
"SAJH  230003","SAJH-00081","Aceraceae","Acer macrophyllum Pursh","big-leaf maple","Teresa DeKoker","31",6/13/2001 0:00:00,,"Teresa DeKoker",6/13/2001 0:00:00,"English Camp: first overlook up the trail towards Young Hill","San Juan Island National Historical Park","SAN JUAN","WA","10/489820/5381320",168,"Forest edge-- adjacent to a rocky meadow",2,210,"mineral soil","Pseudotsuga menziesii/Arbutus menziesii","SAJH",5381320,489820,,"",,"Acer macrophyllum"
"SAJH  230004","SAJH-00081","Aceraceae","Acer macrophyllum Pursh","big-leaf maple","Steve Hahn","64",5/29/2001 0:00:00,,"Steve Hahn",5/29/2001 0:00:00,"English Camp: Young Hill-- about halfway to the top on west side","San Juan Island National Historical Park","SAN JUAN","WA","10/489650/5381350",145,"Scattered in microsites between rock outcroppings-- partial sun",35,229,"mineral soil","Rosa gymnocarpa","SAJH",5381350,489650,,"",,"Acer macrophyllum"
"SAJH  230005","SAJH-00081","Aceraceae","Acer macrophyllum Pursh","big-leaf maple","Steve Hahn","337",5/29/2001 0:00:00,,"Steve Hahn",5/29/2001 0:00:00,"English Camp: Young Hill-- about halfway to the top on west side","San Juan Island National Historical Park","SAN JUAN","WA","10/489650/5381350",145,"Scattered in microsites between rock outcroppings-- partial sun",35,229,"mineral soil","Rosa gymnocarpa","SAJH",5381350,489650,,"",,"Acer macrophyllum"
